GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library-reservation-system,usyd.library_reservation_system.library_reservation_system.dto.adminlogin,AdminLoginResp,0,9,0,0,0,1,0,1,0,1
library-reservation-system,usyd.library_reservation_system.library_reservation_system.dto.adminlogin,AdminLoginVerifyReq,12,0,0,0,1,0,1,0,1,0
library-reservation-system,usyd.library_reservation_system.library_reservation_system.dto.adminlogin,AdminLoginStartReq,6,0,0,0,1,0,1,0,1,0
library-reservation-system,usyd.library_reservation_system.library_reservation_system.model,Label,3,4,1,1,1,2,1,1,0,1
library-reservation-system,usyd.library_reservation_system.library_reservation_system.config,GlobalExceptionHandler,0,73,0,0,0,15,0,8,0,8
library-reservation-system,usyd.library_reservation_system.library_reservation_system.config,SecurityBeans.new WebMvcConfigurer() {...},0,60,0,0,0,9,0,2,0,2
library-reservation-system,usyd.library_reservation_system.library_reservation_system.config,SecurityBeans,0,13,0,0,0,3,0,3,0,3
library-reservation-system,usyd.library_reservation_system.library_reservation_system.service,EmailService,0,76,0,0,0,19,0,2,0,2
library-reservation-system,usyd.library_reservation_system.library_reservation_system.service,BookService.BookSimpleDto,0,9,0,0,0,1,0,1,0,1
library-reservation-system,usyd.library_reservation_system.library_reservation_system.service,FavoriteService,0,279,0,18,0,57,0,20,0,11
library-reservation-system,usyd.library_reservation_system.library_reservation_system.service,CommentService,0,206,1,9,0,54,1,14,0,10
library-reservation-system,usyd.library_reservation_system.library_reservation_system.service,FavoriteService.ToggleResult,0,15,0,0,0,1,0,1,0,1
library-reservation-system,usyd.library_reservation_system.library_reservation_system.service,AuthService_UserLogin,24,205,2,10,4,43,3,8,1,4
library-reservation-system,usyd.library_reservation_system.library_reservation_system.service,AuthService_AdminLogin,2,70,1,3,0,14,1,4,0,3
library-reservation-system,usyd.library_reservation_system.library_reservation_system.service,BookService,0,228,0,16,0,54,0,26,0,18
library-reservation-system,usyd.library_reservation_system.library_reservation_system.service,UserProfileService,0,148,0,22,0,27,0,15,0,4
library-reservation-system,usyd.library_reservation_system.library_reservation_system.service,InvalidCredentialsException,0,27,0,0,0,9,0,4,0,4
library-reservation-system,usyd.library_reservation_system.library_reservation_system.service,TokenService,0,32,0,0,0,9,0,4,0,4
